Persoana	Timp de servire	Timp de asteptare
   1    	       7        	        7        
   2    	       15       	        22       
   3    	       3        	        25       
   4    	       7        	        32       
   5    	       8        	        40       
   6    	       3        	        43       
   7    	       2        	        45       
   8    	       10       	        55       
   9    	       5        	        60       
   10   	       4        	        64       
   11   	       2        	        66       
Timpul mediu de asteptare:41.73

